transaction_id,client_id,order_ts,revenue,items_count,session_id,marketing_source,utm_source,utm_medium,utm_campaign,ref_domain,device_type
ORD-20250223-112,1740229091-LgTZGGMFMzzz,2025-02-23 12:54:35.166000+00:00,1449.0,1,1740229091-LgTZGGMFMzzz-1,direct,,,,,desktop
ORD-20250223-121,1740330024-fdYFQVY4vQpJ,2025-02-23 17:11:39.130000+00:00,245.0,1,1740330024-fdYFQVY4vQpJ-1,direct,,,,,mobile
ORD-20250223-124,1735590428-Rw8e53NUAyqh,2025-02-23 11:01:15.499000+00:00,179.0,1,1735590428-Rw8e53NUAyqh-1,direct,,,,,desktop
ORD-20250223-143,1740318134-170n169CRst0,2025-02-23 13:58:37.029000+00:00,2299.0,1,1740318134-170n169CRst0-1,direct,,,,,mobile
ORD-20250223-188,1740353042-u00VNVwShqi7,2025-02-23 23:56:31.157000+00:00,262.0,1,1740353042-u00VNVwShqi7-1,internal,,,,puffy.com,desktop
ORD-20250223-235,1740322032-MGz2QlNnmLit,2025-02-23 14:48:43.525000+00:00,102.0,1,1740322032-MGz2QlNnmLit-1,direct,,,,,mobile
ORD-20250223-236,1740274368-gufFljcekA4a,2025-02-23 22:55:28.267000+00:00,2599.0,1,1740274368-gufFljcekA4a-2,other_referrer,,,,source-ee658ef2.com,desktop
ORD-20250223-250,1738114715-VE0OVI-6MY_q,2025-02-23 02:21:03.443000+00:00,1277.0,2,1738114715-VE0OVI-6MY_q-1,other_referrer,,,,source-ee658ef2.com,mobile
ORD-20250223-281,1740268999-k1PQxqt-fODp,2025-02-23 00:06:46.544000+00:00,245.0,1,1740268999-k1PQxqt-fODp-1,direct,,,,,mobile
ORD-20250223-339,1740280410-ag6Ycljew8aX,2025-02-23 03:34:08.434000+00:00,211.0,1,1740280410-ag6Ycljew8aX-1,direct,,,,,desktop
ORD-20250223-391,1740324475-gzFxid7EI98q,2025-02-23 22:13:14.482000+00:00,1449.0,1,1740324475-gzFxid7EI98q-2,direct,,,,,mobile
ORD-20250223-393,1740227694-HVyCbgs6JGs1,2025-02-23 17:16:26.941000+00:00,307.0,2,1740227694-HVyCbgs6JGs1-1,internal,,,,puffy.com,mobile
ORD-20250223-402,1740280302-XHcA-M3fnqtc,2025-02-23 03:19:00.576000+00:00,245.0,1,1740280302-XHcA-M3fnqtc-1,internal,,,,puffy.com,mobile
ORD-20250223-411,1740331321-r0oNQ2MSMJj1,2025-02-23 17:30:16.454000+00:00,1349.0,1,1740331321-r0oNQ2MSMJj1-1,internal,,,,puffy.com,desktop
