transaction_id,model,attributed_session_id,attributed_source,utm_source,utm_medium,utm_campaign,ref_domain
ORD-20250223-112,first_click,,direct,,,,
ORD-20250223-112,last_click,,direct,,,,
ORD-20250223-121,first_click,1740330024-fdYFQVY4vQpJ-1,meta_ads,26CAE7,76E084,29AC88,
ORD-20250223-121,last_click,1740330024-fdYFQVY4vQpJ-1,meta_ads,26CAE7,76E084,29AC88,
ORD-20250223-124,first_click,,direct,,,,
ORD-20250223-124,last_click,,direct,,,,
ORD-20250223-143,first_click,1740318134-170n169CRst0-1,google_ads,,,,
ORD-20250223-143,last_click,1740318134-170n169CRst0-1,google_ads,,,,
ORD-20250223-188,first_click,1740353042-u00VNVwShqi7-1,utm_tagged,AF630F,7B4C8A,,source-e34e0c2e.com
ORD-20250223-188,last_click,1740353042-u00VNVwShqi7-1,utm_tagged,AF630F,7B4C8A,,source-e34e0c2e.com
ORD-20250223-235,first_click,,direct,,,,
ORD-20250223-235,last_click,,direct,,,,
ORD-20250223-236,first_click,1740274368-gufFljcekA4a-2,other_referrer,,,,source-ee658ef2.com
ORD-20250223-236,last_click,1740274368-gufFljcekA4a-2,other_referrer,,,,source-ee658ef2.com
ORD-20250223-250,first_click,,direct,,,,
ORD-20250223-250,last_click,,direct,,,,
ORD-20250223-281,first_click,1740268999-k1PQxqt-fODp-1,utm_tagged,AF630F,7B4C8A,,
ORD-20250223-281,last_click,1740268999-k1PQxqt-fODp-1,utm_tagged,AF630F,7B4C8A,,
ORD-20250223-339,first_click,1740280410-ag6Ycljew8aX-1,utm_tagged,AF630F,7B4C8A,,source-e34e0c2e.com
ORD-20250223-339,last_click,1740280410-ag6Ycljew8aX-1,utm_tagged,AF630F,7B4C8A,,source-e34e0c2e.com
ORD-20250223-391,first_click,,direct,,,,
ORD-20250223-391,last_click,,direct,,,,
ORD-20250223-393,first_click,,direct,,,,
ORD-20250223-393,last_click,,direct,,,,
ORD-20250223-402,first_click,,direct,,,,
ORD-20250223-402,last_click,,direct,,,,
ORD-20250223-411,first_click,1740331321-r0oNQ2MSMJj1-1,utm_tagged,B49B20,9A780E,BFE74A,
ORD-20250223-411,last_click,1740331321-r0oNQ2MSMJj1-1,utm_tagged,B49B20,9A780E,BFE74A,
ORD-20250223-473,first_click,,direct,,,,
ORD-20250223-473,last_click,,direct,,,,
ORD-20250223-488,first_click,,direct,,,,
ORD-20250223-488,last_click,,direct,,,,
ORD-20250223-496,first_click,,direct,,,,
ORD-20250223-496,last_click,,direct,,,,
ORD-20250223-633,first_click,,direct,,,,
ORD-20250223-633,last_click,,direct,,,,
ORD-20250223-648,first_click,1740283703-BeA3uOhllnoW-1,google_ads,,,,
ORD-20250223-648,last_click,1740283703-BeA3uOhllnoW-3,google_ads,,,,
ORD-20250223-668,first_click,1738897592-wHdPs3e8dycN-1,utm_tagged,AF630F,7B4C8A,,source-e34e0c2e.com
ORD-20250223-668,last_click,1738897592-wHdPs3e8dycN-1,utm_tagged,AF630F,7B4C8A,,source-e34e0c2e.com
ORD-20250223-823,first_click,,direct,,,,
ORD-20250223-823,last_click,,direct,,,,
ORD-20250224-102,first_click,,direct,,,,
ORD-20250224-102,last_click,,direct,,,,
ORD-20250224-110,first_click,1740375905-ogainOy22IfS-1,google_ads,175C1C,7B4C8A,EF8CFA,
ORD-20250224-110,last_click,1740375905-ogainOy22IfS-1,google_ads,175C1C,7B4C8A,EF8CFA,
ORD-20250224-122,first_click,,direct,,,,
ORD-20250224-122,last_click,,direct,,,,
ORD-20250224-182,first_click,,direct,,,,
ORD-20250224-182,last_click,,direct,,,,
ORD-20250224-203,first_click,,direct,,,,
ORD-20250224-203,last_click,,direct,,,,
ORD-20250224-227,first_click,,direct,,,,
ORD-20250224-227,last_click,,direct,,,,
ORD-20250224-231,first_click,,direct,,,,
ORD-20250224-231,last_click,,direct,,,,
ORD-20250224-233,first_click,1740327276-e965nL-38xWN-1,microsoft_ads,175C1C,7B4C8A,EF8CFA,
ORD-20250224-233,last_click,1740327276-e965nL-38xWN-3,microsoft_ads,175C1C,7B4C8A,EF8CFA,
ORD-20250224-242,first_click,,direct,,,,
ORD-20250224-242,last_click,,direct,,,,
ORD-20250224-248,first_click,1740416598-nykttCSDtxUO-1,utm_tagged,E9B8A9,7B4C8A,,
ORD-20250224-248,last_click,1740416598-nykttCSDtxUO-1,utm_tagged,E9B8A9,7B4C8A,,
ORD-20250224-272,first_click,,direct,,,,
ORD-20250224-272,last_click,,direct,,,,
ORD-20250224-298,first_click,1740153262-W9ba7W8Fyqbj-1,utm_tagged,5DB016,9A780E,FECBE3,
ORD-20250224-298,last_click,1740153262-W9ba7W8Fyqbj-1,utm_tagged,5DB016,9A780E,FECBE3,
ORD-20250224-315,first_click,1740419966-ekW7LffQY_mQ-1,other_referrer,,,,source-ee658ef2.com
ORD-20250224-315,last_click,1740419966-ekW7LffQY_mQ-1,other_referrer,,,,source-ee658ef2.com
ORD-20250224-318,first_click,,direct,,,,
ORD-20250224-318,last_click,,direct,,,,
ORD-20250224-333,first_click,,direct,,,,
ORD-20250224-333,last_click,,direct,,,,
ORD-20250224-346,first_click,,direct,,,,
ORD-20250224-346,last_click,,direct,,,,
ORD-20250224-361,first_click,,direct,,,,
ORD-20250224-361,last_click,,direct,,,,
